#
#  metacyc 19.5 Pathways link table generated on Tue Oct 6, 2015
#
PWY-6012-1	acyl carrier protein activation	[acp] metabolism	ACP metabolism
PWY-5143	long-chain fatty acid activation	long-chain acyl-CoA synthetase pathway
PWY-6568	dermatan sulfate biosynthesis (late stages)	
PWY-6558	heparan sulfate biosynthesis (late stages)	
PWY-6567	chondroitin sulfate biosynthesis (late stages)	
ECASYN-PWY	enterobacterial common antigen biosynthesis	ECA biosynthesis
PWY-5512	UDP-<i>N</i>-acetyl-D-galactosamine biosynthesis I	
PWY-5514	UDP-<i>N</i>-acetyl-D-galactosamine biosynthesis II	
PWY-6397	mycolyl-arabinogalactan-peptidoglycan complex biosynthesis	arabinogalactan biosynthesis
PWY-6404	superpathway of mycolyl-arabinogalactan-peptidoglycan complex biosynthesis	
PWY-6454	vancomycin resistance I	D-ala-D-lactate biosynthesis
PWY-6455	vancomycin resistance II	D-ala-D-serine biosynthesis
PWY-6626	CDP-2-glycerol biosynthesis	
PWY-7467	bactoprenyl-diphospho-acetamido-4-amino-6-deoxygalactopyranose biosynthesis	
TEICHOICACID-PWY	teichoic acid (poly-glycerol) biosynthesis	major teichoic acid biosynthesis	glycerol teichoic acid biosynthesis
PWY-6387	UDP-<i>N</i>-acetylmuramoyl-pentapeptide biosynthesis I (<i>meso</i>-diaminopimelate containing)	
PWY-6386	UDP-<i>N</i>-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing)	
PWY-5265	peptidoglycan biosynthesis II (staphylococci)	
PEPTIDOGLYCANSYN-PWY	peptidoglycan biosynthesis I (<I>meso</I>-diaminopimelate containing)	
PWY-6385	peptidoglycan biosynthesis III (mycobacteria)	
PWY0-1586	peptidoglycan maturation (<i>meso</i>-diaminopimelate containing)	
PWY-6471	peptidoglycan biosynthesis IV (Enterococcus faecium)	
PWY-6470	peptidoglycan biosynthesis V (&beta;-lactam resistance)	penicillin resistance	&beta;-lactam resistance
PWY-6461	peptidoglycan cross-bridge biosynthesis II (E. faecium)	
PWY-6459	peptidoglycan cross-bridge biosynthesis I (S. aureus)	
PWY-6463	peptidoglycan cross-bridge biosynthesis IV (Weissella viridescens)	
PWY-6462	peptidoglycan cross-bridge biosynthesis III (Enterococcus faecalis)	
KDOSYN-PWY	Kdo transfer to lipid IV<sub>A</sub> I	
PWY-7676	Kdo8N transfer to lipid IV<sub>A</sub>	
PWY-7675	Kdo transfer to lipid IV<sub>A</sub> II	
PWY-6467	Kdo transfer to lipid IV<SUB>A</SUB> III (Chlamydia)	
KDO-NAGLIPASYN-PWY	superpathway of (Kdo)<SUB>2</SUB>-lipid A biosynthesis	
NAGLIPASYN-PWY	lipid IV<sub>A</sub> biosynthesis	lipid-A-precursor biosynthesis
PWY0-1338	polymyxin resistance	L-Ara4N-modified lipid A biosynthesis	4-amino-4-deoxy-L-arabinose-modified lipid A biosynthesis
OANTIGEN-PWY	<i>O</i>-antigen building blocks biosynthesis (<i>E. coli</i>)	
PWY-7530	&beta;-D-galactosaminyl-(1&rarr;3)-<i>N</i>-acetyl-&alpha;-D-galactosamine biosynthesis	
PWY-7290	<i>Escherichia coli</i> serotype O86 <i>O</i>-antigen biosynthesis	&alpha;-D-galactosyl-(1&rarr;3)-&alpha;-L-fucosyl-(1&rarr;2)-&beta;-D-galactosaminyl-(1&rarr;3)-<i>N</i>-acetyl-&alpha;-D-galactosaminyl-(1&rarr;3)-<i>N</i>-acetyl-&alpha;-D-galactosaminyl-diphospho-<i>ditrans,octacis</i>-undecaprenol biosynthesis	&alpha;-D-Gal-(1&rarr;3)-&alpha;-L-Fuc-(1&rarr;2)-&beta;-D-Gal-(1&rarr;3)-&alpha;-D-GalNAc-(1&rarr;3)-&alpha;-D-GalNAc-diphospho-ditrans,octacis-undecaprenol biosynthesis
UDPNAGSYN-PWY	UDP-<i>N</i>-acetyl-D-glucosamine biosynthesis I	UDP-<i>N</i>-acetyl-D-glucosamine biosynthesis
PWY-1121	suberin monomers biosynthesis	
PWY-6733	sporopollenin precursors biosynthesis	sporopollenin monomer biosynthesis
PWY-7120	esterified suberin biosynthesis	
PWY-282	cuticular wax biosynthesis	
PWY-321	cutin biosynthesis	cutin monomer biosynthesis
PWY-361	phenylpropanoid biosynthesis	monolignol biosynthesis	lignin biosynthesis
PWY-5800	xylan biosynthesis	
P2-PWY	citrate lyase activation	
P241-PWY	coenzyme B biosynthesis	7-mecaptoheptanoylthreonine phosphate biosynthesis	coB biosynthesis
PWY-5196	factor 430 biosynthesis	F430 biosynthesis
PWY-5198	factor 420 biosynthesis	F420 biosynthesis
PWY-5199	factor 420 polyglutamylation	cofactor 420 polyglutamylation	F420 polyglutamylation
PWY-5207	coenzyme B/coenzyme M regeneration	coB/coM regeneration
PWY-5254	methanofuran biosynthesis	
PWY-5499	vitamin B<sub>6</sub> degradation	pyridoxine degradation	pyridoxamine degradation	pyridoxal degradation
PWY-5796	malonate decarboxylase activation	
PWY-5915	phycoerythrobilin biosynthesis I	
PWY-5917	phycocyanobilin biosynthesis	
PWY-5963	thio-molybdenum cofactor biosynthesis	molybdenum cofactor (sulfide) biosynthesis
PWY-5964	guanylyl molybdenum cofactor biosynthesis	MGD biosynthesis	molybdopterin guanine dinucleotide biosynthesis
PWY-6148	tetrahydromethanopterin biosynthesis	H<sub>4</sub>MPT biosynthesis
PWY-6174	mevalonate pathway II (archaea)	isoprenoid pathway	MVA pathway	isopentenyl diphosphate biosynthesis - mevalonate dependent
PWY-6420	pyrroloquinoline quinone biosynthesis	PQQ biosynthesis
PWY-6476	cytidylyl molybdenum cofactor biosynthesis	MCD biosynthesis	molybdopterin cytosine dinucleotide biosynthesis
PWY-7064	3-amino-3-phenylpropanoyl-CoA biosynthesis	taxol 13C-side chain biosynthesis
PWY-7170	phytochromobilin biosynthesis	
PWY-7250	[2Fe-2S] iron-sulfur cluster biosynthesis	[Fe-S] cluster biosynthesis	[2Fe-2S] cluster biosynthesis
PWY-7524	mevalonate pathway III (archaea)	
PWY-7578	phycoviolobilin biosynthesis	
PWY-7579	phycourobilin biosynthesis	
PWY-7580	phycoerythrobilin biosynthesis II	
PWY-7639	bis(guanylyl molybdenum cofactor) biosynthesis	bisMGD biosynthesis	bis-MPT guanine dinucleotide cofactor biosynthesis
PWY-7710	FeMo cofactor biosynthesis	cluster-M biosynthesis	FeMoco biosynthesis
PWY0-1433	tetrahydromonapterin biosynthesis	
SAM-PWY	S-adenosyl-L-methionine biosynthesis	S-adenosylmethionine biosynthesis
PANTOSYN-PWY	pantothenate and coenzyme A biosynthesis I	
COA-PWY	coenzyme A biosynthesis I	CoA biosynthesis
PWY-4221	pantothenate and coenzyme A biosynthesis II (plants)	
COA-PWY-1	coenzyme A biosynthesis II (mammalian)	CoA biosynthesis
PWY-4242	pantothenate and coenzyme A biosynthesis III	
PWY-7377	cob(II)yrinate <i>a,c</i>-diamide biosynthesis I (early cobalt insertion)	
PWY-7376	cob(II)yrinate <i>a,c</i>-diamide biosynthesis II (late cobalt incorporation)	
P261-PWY	coenzyme M biosynthesis I	CoM biosythesis	2-mercaptoethanesulfonic acid biosynthesis
PWY-6643	coenzyme M biosynthesis II	CoM biosynthesis II
PWY-6984	lipoate salvage II	
PWY0-1275	lipoate biosynthesis and incorporation II	
PWY-7382	lipoate biosynthesis and incorporation (yeast)	
PWY0-522	lipoate salvage I	
PWY-6987	lipoate biosynthesis and incorporation III (Bacillus)	
PWY0-501	lipoate biosynthesis and incorporation I	
PWY-6823	molybdenum cofactor biosynthesis	moco biosynthesis	molybdopterin biosynthesis
NADPHOS-DEPHOS-PWY-1	NAD phosphorylation and transhydrogenation	
PWY-7245	superpathway NAD/NADP - NADH/NADPH interconversion (yeast)	
NADPHOS-DEPHOS-PWY	NAD phosphorylation and dephosphorylation	
PWY-5381	pyridine nucleotide cycling (plants)	
PWY-7269	NAD/NADP-NADH/NADPH mitochondrial interconversion (yeast)	
PWY-5083	NAD/NADH phosphorylation and dephosphorylation	
PWY-7268	NAD/NADP-NADH/NADPH cytosolic interconversion (yeast)	
PWY3O-4106	NAD salvage pathway III	nicotinamide riboside salvage pathway	nicotinamide adenine dinucleotide salvage
NAD-BIOSYNTHESIS-III	NAD biosynthesis III	nicotinamide adenine dinucleotide biosynthesis
PWY-5653	NAD biosynthesis from 2-amino-3-carboxymuconate semialdehyde	
PYRIDNUCSYN-PWY	NAD biosynthesis I (from aspartate)	nicotinamide adenine dinucleotide biosynthesis
NAD-BIOSYNTHESIS-II	NAD salvage pathway II	nicotinamide adenine dinucleotide salvage
PWY-3502	superpathway of NAD biosynthesis in eukaryotes	
PYRIDNUCSAL-PWY	NAD salvage pathway I	pyridine nucleotide cycling	PNC pathway	nicotinamide adenine dinucleotide salvage
NADSYN-PWY	NAD biosynthesis II (from tryptophan)	nicotinamide adenine dinucleotide biosynthesis
HEXPPSYN-PWY	hexaprenyl diphosphate biosynthesis	
POLYISOPRENSYN-PWY	polyisoprenoid biosynthesis (<i>E. coli</i>)	
PWY-5122	geranyl diphosphate biosynthesis	GPP biosynthesis
PWY-5783	octaprenyl diphosphate biosynthesis	
PWY-5785	di-<i>trans</i>,poly-<i>cis</i>-undecaprenyl phosphate biosynthesis	
PWY-5805	nonaprenyl diphosphate biosynthesis I	solanesyl diphosphate biosynthesis	solanesyl pyrophosphate biosynthesis
PWY-5806	all-<i>trans</i>-decaprenyl diphosphate biosynthesis	
PWY-5807	heptaprenyl diphosphate biosynthesis	
PWY-5816	all <i>trans</i> undecaprenyl diphosphate biosynthesis	
PWY-5817	dodecaprenyl diphosphate biosynthesis	
PWY-5893	tridecaprenyl diphosphate biosynthesis	
PWY-6383	mono-<i>trans</i>, poly-<i>cis</i> decaprenyl phosphate biosynthesis	
PWY-6520	nonaprenyl diphosphate biosynthesis II	solanesyl diphosphate biosynthesis	solanesyl pyrophosphate biosynthesis
PWY-6577	farnesylcysteine salvage pathway	farnesylcysteine detoxification pathway	(<i>E,E</i>)-farnesyl diphosphate biosynthesis II	all <i>trans</i>-farnesyl diphosphate biosynthesis II	farnesylcysteine from farnesylated protein salvage pathway
PWY-5123	<i>trans, trans</i>-farnesyl diphosphate biosynthesis	FPP biosynthesis	<i>trans, trans</i>-farnesyl diphosphate biosynthesis
PWY-5121	superpathway of geranylgeranyl diphosphate biosynthesis II (via MEP)	GGPP biosynthesis II (plastidic)
PWY-5910	superpathway of geranylgeranyldiphosphate biosynthesis I (via mevalonate)	GGPP biosynthesis
PWY-5120	geranylgeranyl diphosphate biosynthesis	GGPP biosynthesis
PWY-5194	siroheme biosynthesis	
PWY-5297	siroheme amide biosynthesis	
PWY-5526	bacteriochlorophyll <i>a</i> biosynthesis	
PWY-5064	chlorophyll <i>a</i> biosynthesis II	
PWY-5529	superpathway of bacteriochlorophyll <i>a</i> biosynthesis	
PWY-5086	chlorophyll <i>a</i> biosynthesis I	
PWY-5068	chlorophyll cycle	chlorophyll <i>b</i> biosynthesis
PWY-7159	chlorophyllide <i>a</i> biosynthesis III (aerobic, light independent)	light-independent aerobic chlorophyllide <i>a</i> biosynthesis
PWY-5531	chlorophyllide <i>a</i> biosynthesis II (anaerobic)	
CHLOROPHYLL-SYN	chlorophyllide <i>a</i> biosynthesis I (aerobic, light-dependent)	light-dependent aerobic chlorophyllide <i>a</i> biosynthesis I
PWY-5918	superpathay of heme biosynthesis from glutamate	
PWY-7554	heme <i>d</i><sub>1</sub> biosynthesis	
HEMESYN2-PWY	heme biosynthesis II (anaerobic)	
PWY-7552	heme biosynthesis III (from siroheme)	alternative heme biosynthesis
HEME-BIOSYNTHESIS-II	heme biosynthesis I (aerobic)	
PWY-5920	superpathway of heme biosynthesis from glycine	
PWY0-1415	superpathway of heme biosynthesis from uroporphyrinogen-III	
PWY-1422	vitamin E biosynthesis (tocopherols)	tocopherol biosynthesis
PWY-7436	vitamin E biosynthesis (tocotrienols)	tocotrienol biosynthesis
PWY-7371	1,4-dihydroxy-6-naphthoate biosynthesis II	modified futalosine pathway
PWY-7374	1,4-dihydroxy-6-naphthoate biosynthesis I	futalosine pathway
PWY-5837	1,4-dihydroxy-2-naphthoate biosynthesis	
PWY-5862	superpathway of demethylmenaquinol-9 biosynthesis	superpathway of demethylmenaquinone-9 biosynthesis
PWY-5851	demethylmenaquinol-9 biosynthesis	demethylmenaquinone-9 biosynthesis
PWY-5861	superpathway of demethylmenaquinol-8 biosynthesis	superpathway of demethylmenaquinone-8 biosynthesis
PWY-5852	demethylmenaquinol-8 biosynthesis I	demethylmenaquinone-8 biosynthesis I
PWY-6793	demethylmenaquinol-8 biosynthesis III	demethylmenaquinone-8 biosynthesis III
PWY-6262	demethylmenaquinol-8 biosynthesis II	demethylmenaquinone-8 biosynthesis II
PWY-7372	demethylmenaquinol-6 biosynthesis II	demethylmenaquinone-6 biosynthesis II
PWY-5860	superpathway of demethylmenaquinol-6 biosynthesis I	superpathway of demethylmenaquinone-6 biosynthesis
PWY-5853	demethylmenaquinol-6 biosynthesis I	DMK-6 biosynthesis	demethylmenaquinone-6 biosynthesis
PWY-7373	superpathway of demethylmenaquinol-6 biosynthesis II	superpathway of demethylmenaquinone-6 biosynthesis II
PWY-5890	menaquinol-10 biosynthesis	vitamin K<sub>2</sub> biosynthesis	menaquinone-10 biosynthesis
PWY-5895	menaquinol-13 biosynthesis	vitamin K<sub>2</sub> biosynthesis	menaquinone-13 biosynthesis
PWY-5898	superpathway of menaquinol-12 biosynthesis	vitamin K<sub>2</sub> biosynthesis	superpathway of menaquinone-12 biosynthesis
PWY-5838	superpathway of menaquinol-8 biosynthesis I	vitamin K<sub>2</sub> biosynthesis I	superpathway of menaquinone-8 biosynthesis I
PWY-5844	menaquinol-9 biosynthesis	vitamin K<sub>2</sub> biosynthesis	menaquinone-9 biosynthesis
PWY-5850	superpathway of menaquinol-6 biosynthesis I	superpathway of menaquinone-6 biosynthesis I
PWY-5892	menaquinol-12 biosynthesis	vitamin K<sub>2</sub> biosynthesis	menaquinone-12 biosynthesis
PWY-5897	superpathway of menaquinol-11 biosynthesis	vitamin K<sub>2</sub> biosynthesis	superpathway of menaquinone-11 biosynthesis
MENAQUINONESYN-PWY	menaquinol-8 biosynthesis	vitamin K<sub>2</sub> biosynthesis I	menaquinone-8 biosynthesis
PWY-6263	superpathway of menaquinol-8 biosynthesis II	vitamin K<sub>2</sub> biosynthesis II	superpathway of menaquinone-8 biosynthesis II
PWY-5840	superpathway of menaquinol-7 biosynthesis	vitamin K<sub>2</sub> biosynthesis	superpathway of menaquinone-7 biosynthesis
PWY-5849	menaquinol-6 biosynthesis	vitamin K<sub>2</sub> biosynthesis	MK-6 biosynthesis	menaquinone-6 biosynthesis
PWY-5891	menaquinol-11 biosynthesis	vitamin K<sub>2</sub> biosynthesis	menaquinone-11 biosynthesis
PWY-5896	superpathway of menaquinol-10 biosynthesis	vitamin K<sub>2</sub> biosynthesis	superpathway of menaquinone-10 biosynthesis
PWY-5899	superpathway of menaquinol-13 biosynthesis	vitamin K<sub>2</sub> biosynthesis	superpathway of menaquinone-13 biosynthesis
PWY-5839	menaquinol-7 biosynthesis	vitamin K<sub>2</sub> biosynthesis	menaquinone-7 biosynthesis
PWY-5845	superpathway of menaquinol-9 biosynthesis	vitamin K<sub>2</sub> biosynthesis	superpathway of menaquinone-9 biosynthesis
PWY-5863	superpathway of phylloquinol biosynthesis	superpathway of phylloquinone biosynthesis
PWY-5027	phylloquinol biosynthesis	vitamin K<sub>1</sub> biosynthesis	phylloquinone biosynthesis
PWY-1581	plastoquinol-9 biosynthesis I	plastoquinone biosynthesis I	plastoquinone-9 biosynthesis I	plastoquinol biosynthesis I
PWY-6978	plastoquinol-9 biosynthesis II	plastoquinone biosynthesis II	plastoquinone-9 biosynthesis II	plastoquinol biosynthesis II
PWY-5864	superpathway of plastoquinol biosynthesis	superpathway of plastoquinone biosynthesis
PWY-5889	rhodoquinone-9 biosynthesis	
PWY-5888	rhodoquinone-10 biosynthesis	
PWY-7235	superpathway of ubiquinol-6 biosynthesis (eukaryotic)	
UBISYN-PWY	superpathway of ubiquinol-8 biosynthesis (prokaryotic)	superpathway of ubiquinone-8 biosynthesis (prokaryotic)
PWY-5870	ubiquinol-8 biosynthesis (eukaryotic)	ubiquinone-8 biosynthesis (eukaryotic)
PWY-5873	ubiquinol-7 biosynthesis (eukaryotic)	ubiquinone-7 biosynthesis (eukaryotic)
PWY-7233	ubiquinol-6 bypass biosynthesis (eukaryotic)	
PWY-5857	ubiquinol-10 biosynthesis (prokaryotic)	Q10 biosynthesis	ubiquinone-10 biosynthesis (prokaryotic)
PWY-5872	ubiquinol-10 biosynthesis (eukaryotic)	Q10 biosynthesis	ubiquinone-10 biosynthesis (eukaryotic)
PWY-7230	ubiquinol-6 biosynthesis from 4-aminobenzoate (eukaryotic)	
PWY3O-19	ubiquinol-6 biosynthesis from 4-hydroxybenzoate (eukaryotic)	Q-6 biosynthesis	ubiquinone-6 biosynthesis (eukaryotic)
PWY-5856	ubiquinol-9 biosynthesis (prokaryotic)	Q9 biosynthesis	ubiquinone-9 biosynthesis (prokaryotic)
PWY-5871	ubiquinol-9 biosynthesis (eukaryotic)	Q9 biosynthesis	ubiquinone-9 biosynthesis (eukaryotic)
PWY-6708	ubiquinol-8 biosynthesis (prokaryotic)	ubiquinone-8 biosynthesis (prokaryotic)
PWY-5855	ubiquinol-7 biosynthesis (prokaryotic)	ubiquinone-7 biosynthesis (prokaryotic)
PWY1G-126	mycothiol oxidation	MSH metabolism
GLUTATHIONESYN-PWY	glutathione biosynthesis	
PWY1G-0	mycothiol biosynthesis	MSH biosynthesis
THIOREDOX-PWY	thioredoxin pathway	
GLUT-REDOX-PWY	glutathione-glutaredoxin redox reactions	
PWY-4081	glutathione-peroxide redox reactions	
PWY-6840	homoglutathione biosynthesis	
PWY8J2-1	bacillithiol biosynthesis	
PWY-4041	&gamma;-glutamyl cycle	glutathione metabolism
PWY-4181	glutathione amide metabolism	
PWY-4121	glutathionylspermidine biosynthesis	
PWY-5663	tetrahydrobiopterin biosynthesis I	
PWY-6983	tetrahydrobiopterin biosynthesis III	
PWY-5664	tetrahydrobiopterin biosynthesis II	
PWY-5189	tetrapyrrole biosynthesis II (from glycine)	
PWY-5188	tetrapyrrole biosynthesis I (from glutamate)	
PWY-6076	vitamin D<sub>3</sub> biosynthesis	1,25-dihydroxyvitamin D<sub>3</sub> biosynthesis	vitamin D biosynthesis
PWY3O-6	dehydro-D-arabinono-1,4-lactone biosynthesis	previously called D-erythroascorbate (erythroascorbate, erythroascorbic acid) biosynthesis
PWY4FS-11	L-ascorbate biosynthesis II (L-gulose pathway)	vitamin C biosynthesis	L-ascorbic acid biosynthesis II
PWY-6415	L-ascorbate biosynthesis V	L-ascorbic acid biosynthesis V	vitamin c biosynthesis
PWY3DJ-35471	L-ascorbate biosynthesis IV	vitamin C biosynthesis	L-ascorbic acid biosynthesis IV
PWY-5521	L-ascorbate biosynthesis III	L-ascorbic acid biosynthesis III	vitamin C biosynthesis
PWY-882	L-ascorbate biosynthesis I (L-galactose pathway)	vitamin C biosynthesis	ascorbic acid biosynthesis	L-ascorbic acid biosynthesis I	Smirnoff-Wheeler pathway
PWY-7165	L-ascorbate biosynthesis VI (engineered pathway)	
PWY66-366	flavin biosynthesis IV (mammalian)	riboflavin (vitamin B2) metabolism
PWY-6168	flavin biosynthesis III (fungi)	
PWY-6167	flavin biosynthesis II (archaea)	
RIBOSYN2-PWY	flavin biosynthesis I (bacteria and plants)	riboflavin, FMN and FAD biosynthesis	vitamin B<sub>2</sub> biosynthesis
PWY-6895	superpathway of thiamine diphosphate biosynthesis II	superpathway of thiamine diphosphate biosynthesis (Bacillus)	superpathway of vitamin B<sub>1</sub> biosynthesis (Bacillus)
PWY-7357	thiamine formation from pyrithiamine and oxythiamine (yeast)	
PWY-7369	thiamine triphosphate metabolism	thiamin triphosphate metabolism
THISYN-PWY	superpathway of thiamine diphosphate biosynthesis I	superpathway of thiamine diphosphate biosynthesis (E .coli)	superpathway of vitamin B<sub>1</sub> biosynthesis (E .coli)
THISYNARA-PWY	superpathway of thiamine diphosphate biosynthesis III (eukaryotes)	vitamin B1 biosynthesis IV (eukaryotes)	thiamine diphosphate biosynthesis (plants)
PWY-6890	4-amino-2-methyl-5-diphosphomethylpyrimidine biosynthesis	HMP-PP biosynthesis
PWY-7282	4-amino-2-methyl-5-diphosphomethylpyrimidine biosynthesis (yeast)	
PWY-6907	thiamine diphosphate biosynthesis III (Staphylococcus)	vitamin B<sub>1</sub> biosynthesis III	thiamin diphosphate biosynthesis III (Staphylococcus)
PWY-6894	thiamine diphosphate biosynthesis I (E. coli)	vitamin B<sub>1</sub> biosynthesis	thiamin diphosphate biosynthesis I (E. coli)
PWY-6893	thiamine diphosphate biosynthesis II (Bacillus)	vitamin B<sub>1</sub> biosynthesis II	thiamin diphosphate biosynthesis II (Bacillus)
PWY-6908	thiamine diphosphate biosynthesis IV (eukaryotes)	thiamin diphosphate biosynthesis IV (eukaryotes)	vitamin B1 biosynthesis IV (eukaryotes)	thiamine diphosphate biosynthesis (plants)
PWY-6897	thiamine salvage II	thiamin salvage II
PWY-6898	thiamine salvage III	thiamin salvage III
PWY-7356	thiamine salvage IV (yeast)	thiamin salvage IV (yeast)
PWY-6910	hydroxymethylpyrimidine salvage	HMP salvage
PWY-6896	thiamine salvage I	thiamin salvage I
PWY-6899	base-degraded thiamine salvage	formylaminopyrimidine salvage	base-degraded thiamin salvage
PWY-6909	thiazole biosynthesis III (eukaryotes)	
PWY-6892	thiazole biosynthesis I (facultative anaerobic bacteria)	(<i>R,Z</i>)-2-(2-carboxy-4-methylthiazol-5(2<i>H</i>)-ylidene)ethyl phosphate biosynthesis
PWY-6891	thiazole biosynthesis II (aerobic bacteria)	2-(2-carboxy-4-methylthiazol-5-yl)ethyl phosphate biosynthesis
PWY-6268	adenosylcobalamin salvage from cobalamin	vitamin B<sub>12</sub> biosynthesis
COBALSYN-PWY	adenosylcobalamin salvage from cobinamide I	vitamin B<sub>12</sub> biosynthesis
PWY-6269	adenosylcobalamin salvage from cobinamide II	vitamin B<sub>12</sub> biosynthesis
PWY-5509	adenosylcobalamin biosynthesis from cobyrinate <i>a,c</i>-diamide I	
PWY-5508	adenosylcobalamin biosynthesis from cobyrinate <i>a,c</i>-diamide II	
PWY-5507	adenosylcobalamin biosynthesis I (anaerobic)	adenosylcobalamin biosynthesis I (early cobalt insertion)	vitamin B12 biosynthesis
P381-PWY	adenosylcobalamin biosynthesis II (aerobic)	adenosylcobalamin biosynthesis II (late cobalt incorporation)	vitamin B12 biosynthesis
PWY-7378	aminopropanol phosphate biosynthesis II	(<i>R</i>)-1-amino-2-propanol <i>O</i>-2-phosphate biosynthesis II
PWY-5443	aminopropanol phosphate biosynthesis I	1-amino-propan-2-yl phosphate biosynthesis from threonine	(<i>R</i>)-1-amino-2-propanol <i>O</i>-2-phosphate biosynthesis
